,Unnamed: 0,CLDD,DP01,DP05,DT32,DX32,DX90,FZF0,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,Year,Location,NO_SNOW_FLAG,CLT,RDU,Reagan_Intl,SPLIT
200,60,824.0,106,32,57,0,36,0.0,1730.0,1129.8,0,15.99,22.36,9.62,2006,CLT,1,1.0,0.0,0.0,0
201,61,1051.6,79,21,65,0,76,-2.2,1715.7,726.8,25,16.68,23.31,10.04,2007,CLT,1,1.0,0.0,0.0,1
202,62,869.2,108,26,66,0,45,0.0,1654.1,1073.4,36,15.72,21.84,9.61,2008,CLT,1,1.0,0.0,0.0,1
203,63,881.6,129,31,62,1,28,-1.1,1878.2,1223.3,102,15.57,21.36,9.77,2009,CLT,0,1.0,0.0,0.0,0
204,64,1160.5,101,23,82,1,87,-3.3,1955.3,925.3,201,15.87,22.31,9.42,2010,CLT,0,1.0,0.0,0.0,1
205,65,1048.6,108,31,65,1,73,0.0,1894.3,1131.5,104,16.52,22.97,10.07,2011,CLT,0,1.0,0.0,0.0,0
206,66,971.0,106,20,49,0,49,-1.7,1470.4,856.3,0,16.85,23.09,10.61,2012,CLT,1,1.0,0.0,0.0,1
207,67,857.4,124,31,76,1,20,-1.0,1818.0,1261.3,69,15.58,21.38,9.78,2013,CLT,1,1.0,0.0,0.0,1
208,68,894.5,110,30,79,4,37,-1.0,1906.1,1154.7,236,15.49,21.64,9.33,2014,CLT,0,1.0,0.0,0.0,0
209,69,1102.8,121,33,57,3,73,-3.2,1832.3,1257.1,79,16.98,22.99,10.96,2015,CLT,1,1.0,0.0,0.0,0
